fighter_name,bonus_type,event_name,event_date
Justin Gaethje,FIGHT,UFC 313: Pereira vs. Ankalaev,
Rafael Fiziev,FIGHT,UFC 313: Pereira vs. Ankalaev,
Ignacio Bahamondes,PERF,UFC 313: Pereira vs. Ankalaev,
Mauricio Ruffy,PERF,UFC 313: Pereira vs. Ankalaev,
Manel Kape,PERF,UFC Fight Night: Kape vs. Almabayev,
Nasrat Haqparast,FIGHT,UFC Fight Night: Kape vs. Almabayev,
Esteban Ribovics,FIGHT,UFC Fight Night: Kape vs. Almabayev,
Mario Pinto,PERF,UFC Fight Night: Kape vs. Almabayev,
Jean Silva,PERF,UFC Fight Night: Cejudo vs. Song,
Alonzo Menifield,FIGHT,UFC Fight Night: Cejudo vs. Song,
Julius Walker,FIGHT,UFC Fight Night: Cejudo vs. Song,
Ricky Simon,PERF,UFC Fight Night: Cejudo vs. Song,
Jared Cannonier,FIGHT,UFC Fight Night: Cannonier vs. Rodrigues,
Gregory Rodrigues,FIGHT,UFC Fight Night: Cannonier vs. Rodrigues,
Edmen Shahbazyan,PERF,UFC Fight Night: Cannonier vs. Rodrigues,
Gabriel Bonfim,PERF,UFC Fight Night: Cannonier vs. Rodrigues,
Tallison Teixeira,PERF,UFC 312: Du Plessis vs. Strickland 2,
Rongzhu,FIGHT,UFC 312: Du Plessis vs. Strickland 2,
Kody Steele,FIGHT,UFC 312: Du Plessis vs. Strickland 2,
Quillan Salkilld,PERF,UFC 312: Du Plessis vs. Strickland 2,
Nassourdine Imavov,PERF,UFC Fight Night: Adesanya vs. Imavov,
Vinicius Oliveira,FIGHT,UFC Fight Night: Adesanya vs. Imavov,
Said Nurmagomedov,FIGHT,UFC Fight Night: Adesanya vs. Imavov,
Bogdan Grad,PERF,UFC Fight Night: Adesanya vs. Imavov,
Merab Dvalishvili,FIGHT,UFC 311: Makhachev vs. Moicano,
Umar Nurmagomedov,FIGHT,UFC 311: Makhachev vs. Moicano,
Jiri Prochazka,PERF,UFC 311: Makhachev vs. Moicano,
Jailton Almeida,PERF,UFC 311: Makhachev vs. Moicano,
Mackenzie Dern,PERF,UFC Fight Night: Dern vs. Ribas 2,
Cesar Almeida,PERF,UFC Fight Night: Dern vs. Ribas 2,
Roman Kopylov,FIGHT,UFC Fight Night: Dern vs. Ribas 2,
Chris Curtis,FIGHT,UFC Fight Night: Dern vs. Ribas 2,
Cub Swanson,FIGHT,UFC Fight Night: Covington vs. Buckley,
Billy Quarantillo,FIGHT,UFC Fight Night: Covington vs. Buckley,
Dustin Jacoby,PERF,UFC Fight Night: Covington vs. Buckley,
Michael Johnson,PERF,UFC Fight Night: Covington vs. Buckley,
Alexandre Pantoja,PERF,UFC 310: Pantoja vs. Asakura,
Vicente Luque,PERF,UFC 310: Pantoja vs. Asakura,
Chase Hooper,PERF,UFC 310: Pantoja vs. Asakura,
Kennedy Nzechukwu,PERF,UFC 310: Pantoja vs. Asakura,
Muslim Salikhov,PERF,UFC Fight Night: Yan vs. Figueiredo,
Gabriella Fernandes,PERF,UFC Fight Night: Yan vs. Figueiredo,
Zhang Mingyang,PERF,UFC Fight Night: Yan vs. Figueiredo,
