fighter_name,bonus_type,event_name,event_date
Gregory Rodrigues,FIGHT,UFC Fight Night: Costa vs. Vettori,
JunYong Park,FIGHT,UFC Fight Night: Costa vs. Vettori,
Jim Miller,PERF,UFC Fight Night: Ladd vs. Dumont,
Nate Landwehr,PERF,UFC Fight Night: Ladd vs. Dumont,
Bruno Silva,PERF,UFC Fight Night: Ladd vs. Dumont,
Batgerel Danaa,PERF,UFC Fight Night: Ladd vs. Dumont,
Marina Rodriguez,FIGHT,UFC Fight Night: Dern vs. Rodriguez,
Mackenzie Dern,FIGHT,UFC Fight Night: Dern vs. Rodriguez,
Mariya Agapova,PERF,UFC Fight Night: Dern vs. Rodriguez,
Loopy Godinez,PERF,UFC Fight Night: Dern vs. Rodriguez,
Casey O'Neill,PERF,UFC Fight Night: Santos vs. Walker,
Jamie Mullarkey,PERF,UFC Fight Night: Santos vs. Walker,
Douglas Silva de Andrade,PERF,UFC Fight Night: Santos vs. Walker,
Alejandro Perez,PERF,UFC Fight Night: Santos vs. Walker,
Alexander Volkanovski,FIGHT,UFC 266: Volkanovski vs. Ortega,
Brian Ortega,FIGHT,UFC 266: Volkanovski vs. Ortega,
Merab Dvalishvili,PERF,UFC 266: Volkanovski vs. Ortega,
Chris Daukaus,PERF,UFC 266: Volkanovski vs. Ortega,
Anthony Smith,PERF,UFC Fight Night: Smith vs. Spann,
Arman Tsarukyan,PERF,UFC Fight Night: Smith vs. Spann,
Nate Maness,PERF,UFC Fight Night: Smith vs. Spann,
Joaquin Buckley,PERF,UFC Fight Night: Smith vs. Spann,
Tom Aspinall,PERF,UFC Fight Night: Brunson vs. Till,
Paddy Pimblett,PERF,UFC Fight Night: Brunson vs. Till,
Molly McCann,FIGHT,UFC Fight Night: Brunson vs. Till,
Ji Yeon Kim,FIGHT,UFC Fight Night: Brunson vs. Till,
Giga Chikadze,PERF,UFC Fight Night: Barboza vs. Chikadze,
Gerald Meerschaert,PERF,UFC Fight Night: Barboza vs. Chikadze,
Abdul Razak Alhassan,PERF,UFC Fight Night: Barboza vs. Chikadze,
Pat Sabatini,PERF,UFC Fight Night: Barboza vs. Chikadze,
Alexandre Pantoja,PERF,UFC Fight Night: Cannonier vs. Gastelum,
Josiane Nunes,PERF,UFC Fight Night: Cannonier vs. Gastelum,
William Knight,PERF,UFC Fight Night: Cannonier vs. Gastelum,
Ignacio Bahamondes,PERF,UFC Fight Night: Cannonier vs. Gastelum,
Ciryl Gane,PERF,UFC 265: Lewis vs. Gane,
Vicente Luque,PERF,UFC 265: Lewis vs. Gane,
Rafael Fiziev,FIGHT,UFC 265: Lewis vs. Gane,
King Green,FIGHT,UFC 265: Lewis vs. Gane,
Jessica Penne,PERF,UFC 265: Lewis vs. Gane,
Miles Johns,PERF,UFC 265: Lewis vs. Gane,
Cheyanne Vlismas,PERF,UFC Fight Night: Hall vs. Strickland,
Melsik Baghdasaryan,PERF,UFC Fight Night: Hall vs. Strickland,
Jason Witt,FIGHT,UFC Fight Night: Hall vs. Strickland,
Bryan Barberena,FIGHT,UFC Fight Night: Hall vs. Strickland,
Raulian Paiva,FIGHT,UFC Fight Night: Sandhagen vs. Dillashaw,
Kyler Phillips,FIGHT,UFC Fight Night: Sandhagen vs. Dillashaw,
Darren Elkins,PERF,UFC Fight Night: Sandhagen vs. Dillashaw,
Adrian Yanez,PERF,UFC Fight Night: Sandhagen vs. Dillashaw,
Miesha Tate,PERF,UFC Fight Night: Makhachev vs. Moises,
Mateusz Gamrot,PERF,UFC Fight Night: Makhachev vs. Moises,
Rodolfo Vieira,PERF,UFC Fight Night: Makhachev vs. Moises,
Billy Quarantillo,FIGHT,UFC Fight Night: Makhachev vs. Moises,
Gabriel Benitez,FIGHT,UFC Fight Night: Makhachev vs. Moises,
Alan Baudot,PERF,UFC Fight Night: Makhachev vs. Moises,
Tai Tuivasa,PERF,UFC 264: Poirier vs. McGregor 3,
Sean O'Malley,FIGHT,UFC 264: Poirier vs. McGregor 3,
Kris Moutinho,FIGHT,UFC 264: Poirier vs. McGregor 3,
Dricus Du Plessis,PERF,UFC 264: Poirier vs. McGregor 3,
Timur Valiev,FIGHT,UFC Fight Night: Gane vs. Volkov,
Raoni Barcelos,FIGHT,UFC Fight Night: Gane vs. Volkov,
Kennedy Nzechukwu,PERF,UFC Fight Night: Gane vs. Volkov,
Marcin Prachnio,PERF,UFC Fight Night: Gane vs. Volkov,
Marlon Vera,FIGHT,UFC Fight Night: Jung vs. Ige,
Davey Grant,FIGHT,UFC Fight Night: Jung vs. Ige,
SeungWoo Choi,PERF,UFC Fight Night: Jung vs. Ige,
Matt Brown,PERF,UFC Fight Night: Jung vs. Ige,
Brandon Moreno,PERF,UFC 263: Adesanya vs. Vettori 2,
Paul Craig,PERF,UFC 263: Adesanya vs. Vettori 2,
Brad Riddell,FIGHT,UFC 263: Adesanya vs. Vettori 2,
Drew Dober,FIGHT,UFC 263: Adesanya vs. Vettori 2,
Jairzinho Rozenstruik,PERF,UFC Fight Night: Rozenstruik vs. Sakai,
Marcin Tybura,PERF,UFC Fight Night: Rozenstruik vs. Sakai,
Santiago Ponzinibbio,FIGHT,UFC Fight Night: Rozenstruik vs. Sakai,
Miguel Baeza,FIGHT,UFC Fight Night: Rozenstruik vs. Sakai,
Carla Esparza,PERF,UFC Fight Night: Font vs. Garbrandt,
Jared Vanderaa,FIGHT,UFC Fight Night: Font vs. Garbrandt,
Justin Tafa,FIGHT,UFC Fight Night: Font vs. Garbrandt,
Bruno Silva,PERF,UFC Fight Night: Font vs. Garbrandt,
Charles Oliveira,PERF,UFC 262: Oliveira vs. Chandler,
Edson Barboza,FIGHT,UFC 262: Oliveira vs. Chandler,
Shane Burgos,FIGHT,UFC 262: Oliveira vs. Chandler,
Christos Giagos,PERF,UFC 262: Oliveira vs. Chandler,
Alex Morono,PERF,UFC Fight Night: Rodriguez vs. Waterson,
Gregor Gillespie,FIGHT,UFC Fight Night: Rodriguez vs. Waterson,
Diego Ferreira,FIGHT,UFC Fight Night: Rodriguez vs. Waterson,
Carlston Harris,PERF,UFC Fight Night: Rodriguez vs. Waterson,
Jiri Prochazka,FIGHT,UFC Fight Night: Reyes vs. Prochazka,
Dominick Reyes,FIGHT,UFC Fight Night: Reyes vs. Prochazka,
Jiri Prochazka,PERF,UFC Fight Night: Reyes vs. Prochazka,
Giga Chikadze,PERF,UFC Fight Night: Reyes vs. Prochazka,
Kamaru Usman,PERF,UFC 261: Usman vs. Masvidal 2,
Rose Namajunas,PERF,UFC 261: Usman vs. Masvidal 2,
Jeff Molina,FIGHT,UFC 261: Usman vs. Masvidal 2,
Aoriqileng,FIGHT,UFC 261: Usman vs. Masvidal 2,
Robert Whittaker,FIGHT,UFC Fight Night: Whittaker vs. Gastelum,
Kelvin Gastelum,FIGHT,UFC Fight Night: Whittaker vs. Gastelum,
Gerald Meerschaert,PERF,UFC Fight Night: Whittaker vs. Gastelum,
Tony Gravely,PERF,UFC Fight Night: Whittaker vs. Gastelum,
Julian Marquez,FIGHT,UFC Fight Night: Vettori vs. Holland,
Sam Alvey,FIGHT,UFC Fight Night: Vettori vs. Holland,
Mackenzie Dern,PERF,UFC Fight Night: Vettori vs. Holland,
Mateusz Gamrot,PERF,UFC Fight Night: Vettori vs. Holland,
Francis Ngannou,PERF,UFC 260: Miocic vs. Ngannou,
Vicente Luque,FIGHT,UFC 260: Miocic vs. Ngannou,
Tyron Woodley,FIGHT,UFC 260: Miocic vs. Ngannou,
Sean O'Malley,PERF,UFC 260: Miocic vs. Ngannou,
Max Griffin,PERF,UFC Fight Night: Brunson vs. Holland,
Adrian Yanez,PERF,UFC Fight Night: Brunson vs. Holland,
Grant Dawson,PERF,UFC Fight Night: Brunson vs. Holland,
Bruno Silva,PERF,UFC Fight Night: Brunson vs. Holland,
Ryan Spann,PERF,UFC Fight Night: Edwards vs. Muhammad,
Dan Ige,PERF,UFC Fight Night: Edwards vs. Muhammad,
Davey Grant,PERF,UFC Fight Night: Edwards vs. Muhammad,
Matthew Semelsberger,PERF,UFC Fight Night: Edwards vs. Muhammad,
Kai Kara-France,PERF,UFC 259: Blachowicz vs. Adesanya,
Kennedy Nzechukwu,FIGHT,UFC 259: Blachowicz vs. Adesanya,
Carlos Ulberg,FIGHT,UFC 259: Blachowicz vs. Adesanya,
Uros Medic,PERF,UFC 259: Blachowicz vs. Adesanya,
Pedro Munhoz,FIGHT,UFC Fight Night: Rozenstruik vs. Gane,
Jimmie Rivera,FIGHT,UFC Fight Night: Rozenstruik vs. Gane,
Ronnie Lawrence,PERF,UFC Fight Night: Rozenstruik vs. Gane,
Derrick Lewis,PERF,UFC Fight Night: Blaydes vs. Lewis,
Chris Daukaus,PERF,UFC Fight Night: Blaydes vs. Lewis,
Tom Aspinall,PERF,UFC Fight Night: Blaydes vs. Lewis,
Aiemann Zahabi,PERF,UFC Fight Night: Blaydes vs. Lewis,
Kamaru Usman,PERF,UFC 258: Usman vs. Burns,
Julian Marquez,PERF,UFC 258: Usman vs. Burns,
Anthony Hernandez,PERF,UFC 258: Usman vs. Burns,
Polyana Viana,PERF,UFC 258: Usman vs. Burns,
Alexander Volkov,PERF,UFC Fight Night: Overeem vs. Volkov,
Cory Sandhagen,PERF,UFC Fight Night: Overeem vs. Volkov,
Beneil Dariush,FIGHT,UFC Fight Night: Overeem vs. Volkov,
Diego Ferreira,FIGHT,UFC Fight Night: Overeem vs. Volkov,
Dustin Poirier,PERF,UFC 257: Poirier vs. McGregor,
Michael Chandler,PERF,UFC 257: Poirier vs. McGregor,
Makhmud Muradov,PERF,UFC 257: Poirier vs. McGregor,
Marina Rodriguez,PERF,UFC 257: Poirier vs. McGregor,
Warlley Alves,PERF,UFC Fight Night: Chiesa vs. Magny,
Mike Davis,FIGHT,UFC Fight Night: Chiesa vs. Magny,
Mason Jones,FIGHT,UFC Fight Night: Chiesa vs. Magny,
Umar Nurmagomedov,PERF,UFC Fight Night: Chiesa vs. Magny,
Max Holloway,FIGHT,UFC Fight Night: Holloway vs. Kattar,
Calvin Kattar,FIGHT,UFC Fight Night: Holloway vs. Kattar,
Li Jingliang,PERF,UFC Fight Night: Holloway vs. Kattar,
Alessio Di Chirico,PERF,UFC Fight Night: Holloway vs. Kattar,
Stephen Thompson,PERF,UFC Fight Night: Thompson vs. Neal,
Rob Font,PERF,UFC Fight Night: Thompson vs. Neal,
Marcin Tybura,PERF,UFC Fight Night: Thompson vs. Neal,
Jimmy Flick,PERF,UFC Fight Night: Thompson vs. Neal,
Deiveson Figueiredo,FIGHT,UFC 256: Figueiredo vs. Moreno,
Brandon Moreno,FIGHT,UFC 256: Figueiredo vs. Moreno,
Kevin Holland,PERF,UFC 256: Figueiredo vs. Moreno,
Rafael Fiziev,PERF,UFC 256: Figueiredo vs. Moreno,
Marvin Vettori,FIGHT,UFC Fight Night: Hermansson vs. Vettori,
Jack Hermansson,FIGHT,UFC Fight Night: Hermansson vs. Vettori,
Gabriel Benitez,PERF,UFC Fight Night: Hermansson vs. Vettori,
Jordan Leavitt,PERF,UFC Fight Night: Hermansson vs. Vettori,
Anthony Smith,PERF,UFC Fight Night: Smith vs. Clark,
Miguel Baeza,PERF,UFC Fight Night: Smith vs. Clark,
Sumudaerji,PERF,UFC Fight Night: Smith vs. Clark,
Nate Maness,PERF,UFC Fight Night: Smith vs. Clark,
Joaquin Buckley,PERF,UFC 255: Figueiredo vs. Perez,
Antonina Shevchenko,PERF,UFC 255: Figueiredo vs. Perez,
Sasha Palatnikov,FIGHT,UFC 255: Figueiredo vs. Perez,
Louis Cosce,FIGHT,UFC 255: Figueiredo vs. Perez,
Rafael Dos Anjos,FIGHT,UFC Fight Night: Felder vs. Dos Anjos,
Paul Felder,FIGHT,UFC Fight Night: Felder vs. Dos Anjos,
Khaos Williams,PERF,UFC Fight Night: Felder vs. Dos Anjos,
Sean Strickland,PERF,UFC Fight Night: Felder vs. Dos Anjos,
Raoni Barcelos,FIGHT,UFC Fight Night: Santos vs. Teixeira,
Khalid Taha,FIGHT,UFC Fight Night: Santos vs. Teixeira,
Giga Chikadze,PERF,UFC Fight Night: Santos vs. Teixeira,
Alexandr Romanov,PERF,UFC Fight Night: Santos vs. Teixeira,
Kevin Holland,PERF,UFC Fight Night: Hall vs. Silva,
Alexander Hernandez,PERF,UFC Fight Night: Hall vs. Silva,
Adrian Yanez,PERF,UFC Fight Night: Hall vs. Silva,
Miles Johns,PERF,UFC Fight Night: Hall vs. Silva,
Khabib Nurmagomedov,PERF,UFC 254: Khabib vs. Gaethje,
Magomed Ankalaev,PERF,UFC 254: Khabib vs. Gaethje,
Casey Kenney,FIGHT,UFC 254: Khabib vs. Gaethje,
Nathaniel Wood,FIGHT,UFC 254: Khabib vs. Gaethje,
Jessica Andrade,PERF,UFC Fight Night: Ortega vs. The Korean Zombie,
Jimmy Crute,PERF,UFC Fight Night: Ortega vs. The Korean Zombie,
Guram Kutateladze,FIGHT,UFC Fight Night: Ortega vs. The Korean Zombie,
Mateusz Gamrot,FIGHT,UFC Fight Night: Ortega vs. The Korean Zombie,
Cory Sandhagen,PERF,UFC Fight Night: Moraes vs. Sandhagen,
Tom Breese,PERF,UFC Fight Night: Moraes vs. Sandhagen,
Chris Daukaus,PERF,UFC Fight Night: Moraes vs. Sandhagen,
Joaquin Buckley,PERF,UFC Fight Night: Moraes vs. Sandhagen,
Germaine de Randamie,PERF,UFC Fight Night: Holm vs. Aldana,
Kyler Phillips,PERF,UFC Fight Night: Holm vs. Aldana,
Dusko Todorovic,PERF,UFC Fight Night: Holm vs. Aldana,
Luigi Vendramini,PERF,UFC Fight Night: Holm vs. Aldana,
Israel Adesanya,PERF,UFC 253: Adesanya vs. Costa,
Jan Blachowicz,PERF,UFC 253: Adesanya vs. Costa,
Brandon Royval,FIGHT,UFC 253: Adesanya vs. Costa,
Kai Kara-France,FIGHT,UFC 253: Adesanya vs. Costa,
Khamzat Chimaev,PERF,UFC Fight Night: Covington vs. Woodley,
Mackenzie Dern,PERF,UFC Fight Night: Covington vs. Woodley,
Damon Jackson,PERF,UFC Fight Night: Covington vs. Woodley,
Randy Costa,PERF,UFC Fight Night: Covington vs. Woodley,
Michelle Waterson-Gomez,FIGHT,UFC Fight Night: Waterson vs. Hill,
Angela Hill,FIGHT,UFC Fight Night: Waterson vs. Hill,
Ottman Azaitar,PERF,UFC Fight Night: Waterson vs. Hill,
Roosevelt Roberts,PERF,UFC Fight Night: Waterson vs. Hill,
Ovince Saint Preux,PERF,UFC Fight Night: Overeem vs. Sakai,
Michel Pereira,PERF,UFC Fight Night: Overeem vs. Sakai,
Andre Muniz,PERF,UFC Fight Night: Overeem vs. Sakai,
Brian Kelleher,PERF,UFC Fight Night: Overeem vs. Sakai,
Ricardo Lamas,FIGHT,UFC Fight Night: Smith vs. Rakic,
Bill Algeo,FIGHT,UFC Fight Night: Smith vs. Rakic,
Sean Brady,PERF,UFC Fight Night: Smith vs. Rakic,
Mallory Martin,PERF,UFC Fight Night: Smith vs. Rakic,
Frankie Edgar,FIGHT,UFC Fight Night: Munhoz vs. Edgar,
Pedro Munhoz,FIGHT,UFC Fight Night: Munhoz vs. Edgar,
Shana Dobson,PERF,UFC Fight Night: Munhoz vs. Edgar,
Timur Valiev,PERF,UFC Fight Night: Munhoz vs. Edgar,
Daniel Pineda,PERF,UFC 252: Miocic vs. Cormier 3,
Virna Jandiroba,PERF,UFC 252: Miocic vs. Cormier 3,
Kai Kamaka,FIGHT,UFC 252: Miocic vs. Cormier 3,
Tony Kelley,FIGHT,UFC 252: Miocic vs. Cormier 3,
Darren Stewart,PERF,UFC Fight Night: Lewis vs. Oleinik,
Kevin Holland,PERF,UFC Fight Night: Lewis vs. Oleinik,
Andrew Sanchez,PERF,UFC Fight Night: Lewis vs. Oleinik,
Gavin Tucker,PERF,UFC Fight Night: Lewis vs. Oleinik,
Jennifer Maia,PERF,UFC Fight Night: Brunson vs. Shahbazyan,
Vicente Luque,PERF,UFC Fight Night: Brunson vs. Shahbazyan,
King Green,FIGHT,UFC Fight Night: Brunson vs. Shahbazyan,
Lando Vannata,FIGHT,UFC Fight Night: Brunson vs. Shahbazyan,
Fabricio Werdum,PERF,UFC Fight Night: Whittaker vs. Till,
Paul Craig,PERF,UFC Fight Night: Whittaker vs. Till,
Khamzat Chimaev,PERF,UFC Fight Night: Whittaker vs. Till,
Nicolas Dalby,PERF,UFC Fight Night: Whittaker vs. Till,
Tom Aspinall,PERF,UFC Fight Night: Whittaker vs. Till,
Tanner Boser,PERF,UFC Fight Night: Whittaker vs. Till,
Deiveson Figueiredo,PERF,UFC Fight Night: Figueiredo vs. Benavidez 2,
Rafael Fiziev,FIGHT,UFC Fight Night: Figueiredo vs. Benavidez 2,
Marc Diakiese,FIGHT,UFC Fight Night: Figueiredo vs. Benavidez 2,
Ariane da Silva,PERF,UFC Fight Night: Figueiredo vs. Benavidez 2,
Mounir Lazzez,FIGHT,UFC Fight Night: Kattar vs. Ige,
Abdul Razak Alhassan,FIGHT,UFC Fight Night: Kattar vs. Ige,
Khamzat Chimaev,PERF,UFC Fight Night: Kattar vs. Ige,
Lerone Murphy,PERF,UFC Fight Night: Kattar vs. Ige,
Modestas Bukauskas,PERF,UFC Fight Night: Kattar vs. Ige,
Rose Namajunas,FIGHT,UFC 251: Usman vs. Masvidal,
Jessica Andrade,FIGHT,UFC 251: Usman vs. Masvidal,
Jiri Prochazka,PERF,UFC 251: Usman vs. Masvidal,
Davey Grant,PERF,UFC 251: Usman vs. Masvidal,
Dustin Poirier,FIGHT,UFC Fight Night: Poirier vs. Hooker,
Dan Hooker,FIGHT,UFC Fight Night: Poirier vs. Hooker,
Julian Erosa,PERF,UFC Fight Night: Poirier vs. Hooker,
Kay Hansen,PERF,UFC Fight Night: Poirier vs. Hooker,
Josh Emmett,FIGHT,UFC Fight Night: Blaydes vs. Volkov,
Shane Burgos,FIGHT,UFC Fight Night: Blaydes vs. Volkov,
Jim Miller,PERF,UFC Fight Night: Blaydes vs. Volkov,
Justin Jaynes,PERF,UFC Fight Night: Blaydes vs. Volkov,
Marvin Vettori,PERF,UFC Fight Night: Eye vs. Calvillo,
Mariya Agapova,PERF,UFC Fight Night: Eye vs. Calvillo,
Tyson Nam,PERF,UFC Fight Night: Eye vs. Calvillo,
Christian Aguilera,PERF,UFC Fight Night: Eye vs. Calvillo,
Cody Garbrandt,PERF,UFC 250: Nunes vs. Spencer,
Aljamain Sterling,PERF,UFC 250: Nunes vs. Spencer,
Sean O'Malley,PERF,UFC 250: Nunes vs. Spencer,
Alex Perez,PERF,UFC 250: Nunes vs. Spencer,
Gilbert Burns,PERF,UFC Fight Night: Woodley vs. Burns,
Mackenzie Dern,PERF,UFC Fight Night: Woodley vs. Burns,
Brandon Royval,FIGHT,UFC Fight Night: Woodley vs. Burns,
Tim Elliott,FIGHT,UFC Fight Night: Woodley vs. Burns,
Song Yadong,FIGHT,UFC Fight Night: Overeem vs. Harris,
Marlon Vera,FIGHT,UFC Fight Night: Overeem vs. Harris,
Miguel Baeza,PERF,UFC Fight Night: Overeem vs. Harris,
Cortney Casey,PERF,UFC Fight Night: Overeem vs. Harris,
Glover Teixeira,PERF,UFC Fight Night: Smith vs. Teixeira,
Drew Dober,PERF,UFC Fight Night: Smith vs. Teixeira,
Brian Kelleher,FIGHT,UFC Fight Night: Smith vs. Teixeira,
Hunter Azure,FIGHT,UFC Fight Night: Smith vs. Teixeira,
Justin Gaethje,FIGHT,UFC 249: Ferguson vs. Gaethje,
Tony Ferguson,FIGHT,UFC 249: Ferguson vs. Gaethje,
Justin Gaethje,PERF,UFC 249: Ferguson vs. Gaethje,
Francis Ngannou,PERF,UFC 249: Ferguson vs. Gaethje,
Charles Oliveira,PERF,UFC Fight Night: Lee vs. Oliveira,
Gilbert Burns,PERF,UFC Fight Night: Lee vs. Oliveira,
Maryna Moroz,FIGHT,UFC Fight Night: Lee vs. Oliveira,
Mayra Bueno Silva,FIGHT,UFC Fight Night: Lee vs. Oliveira,
Zhang Weili,FIGHT,UFC 248: Adesanya vs. Romero,
Joanna Jedrzejczyk,FIGHT,UFC 248: Adesanya vs. Romero,
Beneil Dariush,PERF,UFC 248: Adesanya vs. Romero,
Sean O'Malley,PERF,UFC 248: Adesanya vs. Romero,
Megan Anderson,PERF,UFC Fight Night: Benavidez vs. Figueiredo,
Kyler Phillips,FIGHT,UFC Fight Night: Benavidez vs. Figueiredo,
Gabriel Silva,FIGHT,UFC Fight Night: Benavidez vs. Figueiredo,
Jordan Griffin,PERF,UFC Fight Night: Benavidez vs. Figueiredo,
Dan Hooker,FIGHT,UFC Fight Night: Felder vs. Hooker,
Paul Felder,FIGHT,UFC Fight Night: Felder vs. Hooker,
Jimmy Crute,PERF,UFC Fight Night: Felder vs. Hooker,
Priscila Cachoeira,PERF,UFC Fight Night: Felder vs. Hooker,
Jan Blachowicz,PERF,UFC Fight Night: Anderson vs. Blachowicz,
Daniel Rodriguez,PERF,UFC Fight Night: Anderson vs. Blachowicz,
Scott Holtzman,FIGHT,UFC Fight Night: Anderson vs. Blachowicz,
Jim Miller,FIGHT,UFC Fight Night: Anderson vs. Blachowicz,
Trevin Giles,FIGHT,UFC 247: Jones vs. Reyes,
James Krause,FIGHT,UFC 247: Jones vs. Reyes,
Khaos Williams,PERF,UFC 247: Jones vs. Reyes,
Mario Bautista,PERF,UFC 247: Jones vs. Reyes,
Alex Perez,PERF,UFC Fight Night: Blaydes vs. Dos Santos,
Brett Johns,FIGHT,UFC Fight Night: Blaydes vs. Dos Santos,
Tony Gravely,FIGHT,UFC Fight Night: Blaydes vs. Dos Santos,
Herbert Burns,PERF,UFC Fight Night: Blaydes vs. Dos Santos,
Conor McGregor,PERF,UFC 246: McGregor vs. Cowboy,
Aleksei Oleinik,PERF,UFC 246: McGregor vs. Cowboy,
Brian Kelleher,PERF,UFC 246: McGregor vs. Cowboy,
Diego Ferreira,PERF,UFC 246: McGregor vs. Cowboy,
Drew Dober,PERF,UFC 246: McGregor vs. Cowboy,
Chan Sung Jung,PERF,UFC Fight Night: Edgar vs. The Korean Zombie,
Charles Jourdain,FIGHT,UFC Fight Night: Edgar vs. The Korean Zombie,
Dooho Choi,FIGHT,UFC Fight Night: Edgar vs. The Korean Zombie,
Alexandre Pantoja,PERF,UFC Fight Night: Edgar vs. The Korean Zombie,
Kamaru Usman,FIGHT,UFC 245: Usman vs. Covington,
Colby Covington,FIGHT,UFC 245: Usman vs. Covington,
Petr Yan,PERF,UFC 245: Usman vs. Covington,
Irene Aldana,PERF,UFC 245: Usman vs. Covington,
Rob Font,FIGHT,UFC Fight Night: Overeem vs. Rozenstruik,
Ricky Simon,FIGHT,UFC Fight Night: Overeem vs. Rozenstruik,
Bryce Mitchell,PERF,UFC Fight Night: Overeem vs. Rozenstruik,
Makhmud Muradov,PERF,UFC Fight Night: Overeem vs. Rozenstruik,
Charles Oliveira,PERF,UFC Fight Night: Blachowicz vs. Jacare,
James Krause,PERF,UFC Fight Night: Blachowicz vs. Jacare,
Ricardo Ramos,PERF,UFC Fight Night: Blachowicz vs. Jacare,
Randy Brown,PERF,UFC Fight Night: Blachowicz vs. Jacare,
Zabit Magomedsharipov,FIGHT,UFC Fight Night: Zabit vs. Kattar,
Calvin Kattar,FIGHT,UFC Fight Night: Zabit vs. Kattar,
Magomed Ankalaev,PERF,UFC Fight Night: Zabit vs. Kattar,
David Zawada,PERF,UFC Fight Night: Zabit vs. Kattar,
Stephen Thompson,FIGHT,UFC 244: Masvidal vs. Diaz,
Vicente Luque,FIGHT,UFC 244: Masvidal vs. Diaz,
Kevin Lee,PERF,UFC 244: Masvidal vs. Diaz,
Corey Anderson,PERF,UFC 244: Masvidal vs. Diaz,
Demian Maia,FIGHT,UFC Fight Night: Maia vs. Askren,
Ben Askren,FIGHT,UFC Fight Night: Maia vs. Askren,
Beneil Dariush,PERF,UFC Fight Night: Maia vs. Askren,
Ciryl Gane,PERF,UFC Fight Night: Maia vs. Askren,
Dominick Reyes,PERF,UFC Fight Night: Reyes vs. Weidman,
Yair Rodriguez,FIGHT,UFC Fight Night: Reyes vs. Weidman,
Jeremy Stephens,FIGHT,UFC Fight Night: Reyes vs. Weidman,
Charles Rosa,PERF,UFC Fight Night: Reyes vs. Weidman,
Cub Swanson,FIGHT,UFC Fight Night: Joanna vs. Waterson,
Kron Gracie,FIGHT,UFC Fight Night: Joanna vs. Waterson,
Niko Price,PERF,UFC Fight Night: Joanna vs. Waterson,
Marlon Vera,PERF,UFC Fight Night: Joanna vs. Waterson,
Israel Adesanya,PERF,UFC 243: Whittaker vs. Adesanya,
Yorgan De Castro,PERF,UFC 243: Whittaker vs. Adesanya,
Brad Riddell,FIGHT,UFC 243: Whittaker vs. Adesanya,
Jamie Mullarkey,FIGHT,UFC 243: Whittaker vs. Adesanya,
Jared Cannonier,PERF,UFC Fight Night: Hermansson vs. Cannonier,
Ovince Saint Preux,PERF,UFC Fight Night: Hermansson vs. Cannonier,
John Phillips,PERF,UFC Fight Night: Hermansson vs. Cannonier,
Jack Shore,PERF,UFC Fight Night: Hermansson vs. Cannonier,
Carla Esparza,FIGHT,UFC Fight Night: Rodriguez vs. Stephens,
Alexa Grasso,FIGHT,UFC Fight Night: Rodriguez vs. Stephens,
Steven Peterson,PERF,UFC Fight Night: Rodriguez vs. Stephens,
Paul Craig,PERF,UFC Fight Night: Rodriguez vs. Stephens,
Justin Gaethje,PERF,UFC Fight Night: Cowboy vs. Gaethje,
Tristan Connelly,FIGHT,UFC Fight Night: Cowboy vs. Gaethje,
Michel Pereira,FIGHT,UFC Fight Night: Cowboy vs. Gaethje,
Misha Cirkunov,PERF,UFC Fight Night: Cowboy vs. Gaethje,
Khabib Nurmagomedov,PERF,UFC 242: Khabib vs. Poirier,
Ottman Azaitar,PERF,UFC 242: Khabib vs. Poirier,
Belal Muhammad,PERF,UFC 242: Khabib vs. Poirier,
Muslim Salikhov,PERF,UFC 242: Khabib vs. Poirier,
Zhang Weili,PERF,UFC Fight Night: Andrade vs. Zhang,
Li Jingliang,PERF,UFC Fight Night: Andrade vs. Zhang,
Alatengheili,FIGHT,UFC Fight Night: Andrade vs. Zhang,
Batgerel Danaa,FIGHT,UFC Fight Night: Andrade vs. Zhang,
Stipe Miocic,PERF,UFC 241: Cormier vs. Miocic 2,
Paulo Costa,FIGHT,UFC 241: Cormier vs. Miocic 2,
Yoel Romero,FIGHT,UFC 241: Cormier vs. Miocic 2,
Khama Worthy,PERF,UFC 241: Cormier vs. Miocic 2,
Vicente Luque,FIGHT,UFC Fight Night: Shevchenko vs. Carmouche 2,
Mike Perry,FIGHT,UFC Fight Night: Shevchenko vs. Carmouche 2,
Volkan Oezdemir,PERF,UFC Fight Night: Shevchenko vs. Carmouche 2,
Veronica Hardy,PERF,UFC Fight Night: Shevchenko vs. Carmouche 2,
Nasrat Haqparast,PERF,UFC Fight Night: Covington vs. Lawler,
Antonina Shevchenko,FIGHT,UFC Fight Night: Covington vs. Lawler,
Lucie Pudilova,FIGHT,UFC Fight Night: Covington vs. Lawler,
Matt Schnell,PERF,UFC Fight Night: Covington vs. Lawler,
Geoff Neal,PERF,UFC 240: Holloway vs. Edgar,
Hakeem Dawodu,PERF,UFC 240: Holloway vs. Edgar,
Deiveson Figueiredo,FIGHT,UFC 240: Holloway vs. Edgar,
Alexandre Pantoja,FIGHT,UFC 240: Holloway vs. Edgar,
Walt Harris,PERF,UFC Fight Night: Dos Anjos vs. Edwards,
Dan Hooker,PERF,UFC Fight Night: Dos Anjos vs. Edwards,
Mario Bautista,FIGHT,UFC Fight Night: Dos Anjos vs. Edwards,
Jin Soo Son,FIGHT,UFC Fight Night: Dos Anjos vs. Edwards,
